table_index,e_step,esa_v
1,706,40.88
1,707,40.88
1,708,40.88
1,709,40.88
1,710,40.88
1,711,40.88
1,712,40.88
1,713,40.88
1,714,40.88
1,715,40.88
1,716,40.88
1,717,40.88
1,718,40.88
1,719,40.88
