"Index_logical","Index_offset",XBkTp,YBkTp,XBkBt,YBkBt
-1756,291,1225,-4100,-6225,-4100
-1755,292,1225,-4100,-6225,-4100
-1754,293,1225,-4100,-6225,-4100
-1753,294,1225,-4100,-6225,-4100
-1752,295,1225,-4100,-6225,-4100
-1751,296,1225,-4100,-6225,-4100
-1750,297,1225,-4100,-6225,-4100
-1749,298,1225,-4100,-6225,-4100
-1748,299,1225,-4100,-6225,-4100
-1747,300,1225,-4100,-6225,-4100
-1746,301,1225,-4100,-6225,-4100
-1745,302,1225,-4100,-6225,-4100
-1744,303,1225,-4100,-6225,-4100
-1743,304,1225,-4100,-6225,-4100
-1742,305,1225,-4100,-6225,-4100
-1741,306,1225,-4100,-6225,-4100
-1740,307,1225,-4100,-6225,-4100
-1739,308,1225,-4100,-6225,-4100
-1738,309,1225,-4100,-6225,-4100
-1737,310,1225,-4100,-6225,-4100
-1736,311,1225,-4100,-6225,-4100
-1735,312,1225,-4100,-6225,-4100
-1734,313,1225,-4100,-6225,-4100
-1733,314,1225,-4100,-6225,-4100
-1732,315,1225,-4100,-6225,-4100
-1731,316,1225,-4100,-6225,-4100
-1730,317,1225,-4100,-6225,-4100
-1729,318,1225,-4100,-6225,-4100
-1728,319,1225,-4100,-6225,-4100
-1727,320,1225,-4100,-6225,-4100
-1726,321,1225,-4100,-6225,-4100
-1725,322,1225,-4100,-6225,-4100
-1724,323,1225,-4100,-6225,-4100
-1723,324,1225,-4100,-6225,-4100
-1722,325,1225,-4100,-6225,-4100
-1721,326,1225,-4100,-6225,-4100
-1720,327,1225,-4100,-6225,-4100
-1719,328,1225,-4100,-6225,-4100
-1718,329,1225,-4100,-6225,-4100
-1717,330,1225,-4100,-6225,-4100
-1716,331,1225,-4100,-6225,-4100
-1715,332,1225,-4100,-6225,-4100
-1714,333,1225,-4100,-6225,-4100
-1713,334,1225,-4100,-6225,-4100
-1712,335,1225,-4100,-6225,-4100
-1711,336,1225,-4100,-6225,-4100
-1710,337,1225,-4100,-6225,-4100
-1709,338,1225,-4100,-6225,-4100
-1708,339,1225,-4100,-6225,-4100
-1707,340,1225,-4100,-6225,-4100
-1706,341,1225,-4100,-6225,-4100
-1705,342,1225,-4100,-6225,-4100
-1704,343,1225,-4100,-6225,-4100
-1703,344,1225,-4100,-6225,-4100
-1702,345,1225,-4100,-6225,-4100
-1701,346,1225,-4100,-6225,-4100
-1700,347,1225,-4100,-6225,-4100
-1699,348,1225,-4100,-6225,-4100
-1698,349,1225,-4100,-6225,-4100
-1697,350,1225,-4100,-6225,-4100
-1696,351,1225,-4100,-6225,-4100
-1695,352,1225,-4100,-6225,-4100
-1694,353,1225,-4100,-6225,-4100
-1693,354,1225,-4100,-6225,-4100
-1692,355,1225,-4100,-6225,-4100
-1691,356,1225,-4100,-6225,-4100
-1690,357,1225,-4100,-6225,-4100
-1689,358,1225,-4100,-6225,-4100
-1688,359,1225,-4100,-6225,-4100
-1687,360,1225,-4100,-6225,-4100
-1686,361,1225,-4100,-6225,-4100
-1685,362,1225,-4100,-6225,-4100
-1684,363,1225,-4100,-6225,-4100
-1683,364,1225,-4100,-6225,-4100
-1682,365,1225,-4100,-6225,-4100
-1681,366,1225,-4100,-6225,-4100
-1680,367,1225,-4100,-6225,-4100
-1679,368,1225,-4100,-6225,-4100
-1678,369,1225,-4100,-6225,-4100
-1677,370,1225,-4100,-6225,-4100
-1676,371,1225,-4100,-6225,-4100
-1675,372,1225,-4100,-6225,-4100
-1674,373,1225,-4100,-6225,-4100
-1673,374,1225,-4100,-6225,-4100
