Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
5.000000000000000000e+00,-1.017604142780383292e+01,5.005980152125938609e+00,9.400000000000000355e+00,6.000000000000000000e+00,1.102398412994953247e+01,1.125743680374236000e+01
5.000000000000000000e+00,-1.026447658052627787e+01,7.908162697748934988e+00,9.400000000000000355e+00,9.000000000000000000e+00,1.119548091343180651e+01,1.093350932051088797e+01
5.000000000000000000e+00,-1.024739070678687369e+01,1.086606522507249650e+01,9.400000000000000355e+00,1.200000000000000000e+01,1.064363046811764058e+01,1.085721254054649343e+01
5.000000000000000000e+00,-1.042484715098244941e+01,1.864818727417834410e+01,9.400000000000000355e+00,2.000000000000000000e+01,1.105136989902132783e+01,1.128006364694882002e+01
5.000000000000000000e+00,-1.056547643058340924e+01,2.620129193150120273e+01,9.400000000000000355e+00,2.800000000000000000e+01,1.260149635921669464e+01,1.132759439423638881e+01
5.000000000000000000e+00,-1.081242926722685382e+01,3.388051395012628575e+01,9.400000000000000355e+00,3.600000000000000000e+01,1.288693283770034270e+01,1.208422251810612913e+01
5.000000000000000000e+00,-1.170049204716879920e+01,4.141383078989463229e+01,9.400000000000000355e+00,4.400000000000000000e+01,1.500318213125078159e+01,1.271519968776243559e+01
5.000000000000000000e+00,-1.955238660183227850e+01,-4.344235231931762797e+01,1.839999999999999858e+01,-4.400000000000000000e+01,1.525051120742643462e+01,1.201362437742333178e+01
5.000000000000000000e+00,-1.905627443841368773e+01,-3.605843216937120843e+01,1.839999999999999858e+01,-3.600000000000000000e+01,1.402178573890856583e+01,1.188435404444747157e+01
5.000000000000000000e+00,-1.908131370640274938e+01,-2.864750851820144462e+01,1.839999999999999858e+01,-2.800000000000000000e+01,1.206309183391382867e+01,1.051771712760151090e+01
5.000000000000000000e+00,-1.868854842387647963e+01,-2.132816604586832199e+01,1.839999999999999858e+01,-2.000000000000000000e+01,1.152344932071680539e+01,1.060072600840286761e+01
5.000000000000000000e+00,-1.900570965244754618e+01,-1.308490590847029544e+01,1.839999999999999858e+01,-1.200000000000000000e+01,1.034083806330074395e+01,1.049505266194061726e+01
5.000000000000000000e+00,-1.890643469886242301e+01,-1.030677413022739408e+01,1.839999999999999858e+01,-9.000000000000000000e+00,1.018970864887591254e+01,1.026848415828594341e+01
5.000000000000000000e+00,-1.891608092715846823e+01,-7.590291797687810593e+00,1.839999999999999858e+01,-6.000000000000000000e+00,9.786070694518997470e+00,1.059653428479546555e+01
5.000000000000000000e+00,-1.891499998405931038e+01,-1.228705453398279523e+00,1.839999999999999858e+01,0.000000000000000000e+00,1.000808108901166804e+01,1.092547319338303247e+01
5.000000000000000000e+00,-1.886569882849272517e+01,5.006588010040836423e+00,1.839999999999999858e+01,6.000000000000000000e+00,1.064229914551252421e+01,1.031026558542270521e+01
5.000000000000000000e+00,-1.891250112223921320e+01,8.026342447620178788e+00,1.839999999999999858e+01,9.000000000000000000e+00,1.062725436419369807e+01,1.061469480670451127e+01
5.000000000000000000e+00,-1.882692599714211923e+01,1.089832894482152170e+01,1.839999999999999858e+01,1.200000000000000000e+01,1.044694540439324371e+01,1.102265427428683076e+01
5.000000000000000000e+00,-1.870752030077506944e+01,1.901149817221773120e+01,1.839999999999999858e+01,2.000000000000000000e+01,1.119899613305573460e+01,1.074642598288560968e+01
5.000000000000000000e+00,-1.892613600477922375e+01,2.651718086695079890e+01,1.839999999999999858e+01,2.800000000000000000e+01,1.272149690901121666e+01,1.099082710291737719e+01
5.000000000000000000e+00,-1.888092588610569322e+01,3.442123916506012193e+01,1.839999999999999858e+01,3.600000000000000000e+01,1.421229370612161524e+01,1.177837894048487932e+01
5.000000000000000000e+00,-1.925016494113989296e+01,4.189652628441580617e+01,1.839999999999999858e+01,4.400000000000000000e+01,1.627065725098329096e+01,1.170543603989148629e+01
5.000000000000000000e+00,-2.746774029230612157e+01,-4.373036027097817424e+01,2.730000000000000071e+01,-4.400000000000000000e+01,1.627227552451133263e+01,1.177307414127573182e+01
5.000000000000000000e+00,-2.729641319715427628e+01,-3.618462022199038586e+01,2.730000000000000071e+01,-3.600000000000000000e+01,1.400610171779080382e+01,1.121848444710699688e+01
5.000000000000000000e+00,-2.758055607071110771e+01,-2.854775352935906696e+01,2.730000000000000071e+01,-2.800000000000000000e+01,1.239184878082399699e+01,1.065882948307168121e+01
5.000000000000000000e+00,-2.760826664869480851e+01,-2.091142248402954706e+01,2.730000000000000071e+01,-2.000000000000000000e+01,1.077378338177719463e+01,1.012938236861966779e+01
5.000000000000000000e+00,-2.780032375073245277e+01,-1.310629570159999524e+01,2.730000000000000071e+01,-1.200000000000000000e+01,1.016004745107097840e+01,9.979751808822113546e+00
5.000000000000000000e+00,-2.777535867474323794e+01,-1.006795737045771943e+01,2.730000000000000071e+01,-9.000000000000000000e+00,9.613665673198177331e+00,9.600089429402769881e+00
5.000000000000000000e+00,-2.770321294292265790e+01,-7.483518337906637008e+00,2.730000000000000071e+01,-6.000000000000000000e+00,9.978489436446276173e+00,1.014101592886594894e+01
