Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
2.000000000000000000e+01,4.493331303842242885e-01,9.268919909056216877e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.894662087529043859e+00,4.979567163641968719e+00
2.000000000000000000e+01,3.769701660795030662e-01,-5.070539872501586665e+00,0.000000000000000000e+00,6.000000000000000000e+00,2.861211906984669984e+00,4.992867910312799751e+00
2.000000000000000000e+01,3.717830950933698198e-01,-8.284678415142064267e+00,0.000000000000000000e+00,9.000000000000000000e+00,2.240237764750705907e+00,5.009285102954442515e+00
2.000000000000000000e+01,4.636623256343628263e-01,-1.121046533119904076e+01,0.000000000000000000e+00,1.200000000000000000e+01,2.613646968323604991e+00,4.825237501480797775e+00
2.000000000000000000e+01,4.035806091989803668e-01,-1.920122037825302286e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.868152194085617612e+00,4.758127095846209187e+00
2.000000000000000000e+01,5.092994038162775849e-01,-2.728571294676448744e+01,0.000000000000000000e+00,2.800000000000000000e+01,3.115062954534867590e+00,5.002706922525616662e+00
2.000000000000000000e+01,6.650186874704973050e-01,-3.540869622560989427e+01,0.000000000000000000e+00,3.600000000000000000e+01,3.380956460305573952e+00,4.848914114364734296e+00
2.000000000000000000e+01,8.649378728246537307e-01,-4.327988974837346348e+01,0.000000000000000000e+00,4.400000000000000000e+01,4.048021769335687914e+00,4.906493130909762357e+00
2.000000000000000000e+01,1.001342136182785936e+01,4.408725938075221507e+01,1.000000000000000000e+01,-4.400000000000000000e+01,6.010350487270867070e+00,4.737164747672213849e+00
2.000000000000000000e+01,1.019207409018856403e+01,3.644603864369618407e+01,1.000000000000000000e+01,-3.600000000000000000e+01,5.181243550518598973e+00,4.460315927681832271e+00
2.000000000000000000e+01,1.023282611456450830e+01,2.861800887109998115e+01,1.000000000000000000e+01,-2.800000000000000000e+01,4.499414619984478669e+00,4.637645822944479690e+00
2.000000000000000000e+01,1.027385002898278188e+01,2.089517355631295104e+01,1.000000000000000000e+01,-2.000000000000000000e+01,4.000321586340115587e+00,4.683448495495878383e+00
2.000000000000000000e+01,1.026769722100713977e+01,1.296022660519991021e+01,1.000000000000000000e+01,-1.200000000000000000e+01,3.666949999541330385e+00,4.794204074520914460e+00
2.000000000000000000e+01,1.026137989367930992e+01,9.975995173339546440e+00,1.000000000000000000e+01,-9.000000000000000000e+00,3.717278753896225307e+00,4.731205351821389904e+00
2.000000000000000000e+01,1.024752265417564701e+01,6.814922647798286270e+00,1.000000000000000000e+01,-6.000000000000000000e+00,3.718463872769925516e+00,4.816182907618889786e+00
2.000000000000000000e+01,1.026903398913508525e+01,8.103095801384628816e-01,1.000000000000000000e+01,0.000000000000000000e+00,3.585162793623909661e+00,4.916242708787031290e+00
2.000000000000000000e+01,1.020222156942613445e+01,-5.261705673739655253e+00,1.000000000000000000e+01,6.000000000000000000e+00,3.597371956305463581e+00,4.890026041446951410e+00
2.000000000000000000e+01,1.017986341631378799e+01,-8.348822777398156703e+00,1.000000000000000000e+01,9.000000000000000000e+00,3.715296538458492837e+00,5.048612260600736867e+00
2.000000000000000000e+01,1.010484933468125490e+01,-1.144968946105687024e+01,1.000000000000000000e+01,1.200000000000000000e+01,3.738535359125588986e+00,4.985907097480499317e+00
2.000000000000000000e+01,1.002800737535069153e+01,-1.952199804892547164e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.958072354944917493e+00,4.837052128627959746e+00
2.000000000000000000e+01,9.848624069818614046e+00,-2.757359170347931254e+01,1.000000000000000000e+01,2.800000000000000000e+01,4.413017229371840600e+00,4.749242448697496677e+00
2.000000000000000000e+01,9.749203165483940836e+00,-3.582906185679222233e+01,1.000000000000000000e+01,3.600000000000000000e+01,5.256928658884433503e+00,4.894774377313272140e+00
2.000000000000000000e+01,9.564002185316574867e+00,-4.406184136373931892e+01,1.000000000000000000e+01,4.400000000000000000e+01,6.471286953607126691e+00,4.641657600795715766e+00
2.000000000000000000e+01,1.911827995056025387e+01,4.405907515525507279e+01,1.900000000000000000e+01,-4.400000000000000000e+01,5.798863421327833834e+00,4.457705824605397993e+00
2.000000000000000000e+01,1.913715525851540633e+01,3.618668396088084194e+01,1.900000000000000000e+01,-3.600000000000000000e+01,4.599711708112323549e+00,4.209656847528956192e+00
2.000000000000000000e+01,1.921710038591915293e+01,2.850162722170496110e+01,1.900000000000000000e+01,-2.800000000000000000e+01,3.988828770649580413e+00,4.433792606718773399e+00
2.000000000000000000e+01,1.923859232590090684e+01,2.081176391905938416e+01,1.900000000000000000e+01,-2.000000000000000000e+01,3.528775993568709080e+00,4.501355092019236004e+00
2.000000000000000000e+01,1.924508135988823554e+01,1.269178198750494602e+01,1.900000000000000000e+01,-1.200000000000000000e+01,3.533512653698740902e+00,4.602149338623066299e+00
2.000000000000000000e+01,1.924037793963309895e+01,9.738772194096121382e+00,1.900000000000000000e+01,-9.000000000000000000e+00,3.401918702090954483e+00,4.600782746345053020e+00
2.000000000000000000e+01,1.924407613827442276e+01,6.721776603121072391e+00,1.900000000000000000e+01,-6.000000000000000000e+00,3.523285252920327792e+00,4.738174056202769435e+00
2.000000000000000000e+01,1.926596529718229434e+01,6.842514025481523099e-01,1.900000000000000000e+01,0.000000000000000000e+00,3.396750146795632030e+00,4.869375524237725905e+00
2.000000000000000000e+01,1.918540037050609470e+01,-5.479477189150064653e+00,1.900000000000000000e+01,6.000000000000000000e+00,3.510690324382033545e+00,4.722398631465283714e+00
2.000000000000000000e+01,1.916545035663025942e+01,-8.570100004529654925e+00,1.900000000000000000e+01,9.000000000000000000e+00,3.454335347238983722e+00,4.638103599923302234e+00
2.000000000000000000e+01,1.909766477207108082e+01,-1.167697722248124670e+01,1.900000000000000000e+01,1.200000000000000000e+01,3.608494951778558946e+00,4.713307803568240750e+00
2.000000000000000000e+01,1.893946480575286984e+01,-1.972381704183034401e+01,1.900000000000000000e+01,2.000000000000000000e+01,3.695148475623383444e+00,4.483798750665591193e+00
2.000000000000000000e+01,1.886885502061275588e+01,-2.766878569300565971e+01,1.900000000000000000e+01,2.800000000000000000e+01,4.004759037492394036e+00,4.615904939846665833e+00
2.000000000000000000e+01,1.865145988344314887e+01,-3.593443214692474186e+01,1.900000000000000000e+01,3.600000000000000000e+01,4.734559059222536170e+00,4.476232968744996654e+00
2.000000000000000000e+01,1.851725802360616413e+01,-4.422199366501298812e+01,1.900000000000000000e+01,4.400000000000000000e+01,5.987721177549653717e+00,4.536627868851696554e+00
2.000000000000000000e+01,2.844590181172107179e+01,4.381872802585617421e+01,2.850000000000000000e+01,-4.400000000000000000e+01,5.586330770070839336e+00,3.996566130077297441e+00
2.000000000000000000e+01,2.851296664642298140e+01,3.592434466161823536e+01,2.850000000000000000e+01,-3.600000000000000000e+01,4.608529350823047821e+00,4.171212176943125627e+00
2.000000000000000000e+01,2.863715006735260005e+01,2.798270270470032983e+01,2.850000000000000000e+01,-2.800000000000000000e+01,3.955696827433860641e+00,4.274163373236531172e+00
2.000000000000000000e+01,2.868454699228389870e+01,2.031560951840897289e+01,2.850000000000000000e+01,-2.000000000000000000e+01,3.492535783298529761e+00,4.228586255507453373e+00
2.000000000000000000e+01,2.866695074775977048e+01,1.246030230756836232e+01,2.850000000000000000e+01,-1.200000000000000000e+01,3.275182937560789487e+00,4.405607144428231869e+00
2.000000000000000000e+01,2.867231134313028917e+01,9.491019046735674536e+00,2.850000000000000000e+01,-9.000000000000000000e+00,3.144496330248249372e+00,4.332626767158090253e+00
